dataset,model,accuracy,f1,precision,recall
Kaggle,TF-IDF + LogReg,0.9877049180327869,0.9887058823529412,0.9852286049237984,0.9922077922077922
Kaggle,TF-IDF + SVM,0.9938524590163934,0.9943462897526502,0.9920094007050528,0.996694214876033
Kaggle,TF-IDF + RF,0.9946209016393442,0.9950588235294118,0.9915592028135991,0.9985832349468713
LIAR,TF-IDF + LogReg,0.5923591965340685,0.627831715210356,0.6409691629955947,0.6152219873150105
LIAR,TF-IDF + SVM,0.5726664040961008,0.6109716744352814,0.621897810218978,0.6004228329809725
LIAR,TF-IDF + RF,0.5888144938952343,0.6276747503566333,0.6353790613718412,0.6201550387596899
